,decay10_median,decay20_median,lag1_median,decay10_std,decay20_std,lag1_std,lag1_z_std,lag1_z_med
83,3.074314223850418,2.2834277366472007,0.8458981524905823,1.513505649627601,0.6444568419354825,0.025458840875244658,0.5542556552577004,0.2175963507615733
84,3.25978881182456,2.316972067687388,0.8564390607662801,1.7951792859636504,0.7273454133143448,0.028230114015039106,0.5427887836531595,0.6204222098509199
85,3.500073879385547,2.348898891667207,0.8644132273976206,1.6911339946739874,0.7100722614940733,0.029579980791032946,0.5567231686709563,0.7413534019605128
86,3.280014244928673,2.373840987546301,0.8596442007614012,1.687439702596907,0.8267637040148629,0.03438538356522972,0.6481111576281692,0.5357454885336567
87,3.4485080368522127,2.4063801876233955,0.8586709891152344,1.5826853192273824,0.8035881962145941,0.033072374396506087,0.6064981492015341,0.6499848520560854
88,2.336790730760421,1.9059159525344878,0.8144721752608887,0.9679968798195503,0.5513016316786787,0.03626929494649961,0.9446142389009033,-0.7428957148231903
89,1.9077089480908933,1.59821082465936,0.783449983212629,0.49481024405874147,0.34657899980691953,0.02862563075032921,0.937957099273291,-1.6737295878984488
90,3.1105684680179015,2.379422719945989,0.8538566943462215,1.3270887480538671,0.6443714363185997,0.030151251273201393,0.5379665782229187,0.559617898606628
91,2.8491258932920887,1.9951950795874738,0.8357282754536366,1.2807937809790104,0.5540374288049065,0.03378490220455203,0.8039023475294358,0.0007427582540215794
92,2.1143834133335346,1.804299907547176,0.805474640049402,0.5681090177577062,0.4442767790127296,0.029976471942646618,0.8035798012457872,-1.2795346359878892
93,2.251857763791499,1.9094659020925842,0.8084046300304,0.8129360536142638,0.481729168204087,0.0330489176778422,0.908405572849447,-0.9778134692037308
94,2.3805808889936984,1.930658811920733,0.8092490918179167,0.7338709191169097,0.508919220621047,0.026427039038638692,0.8313677438475855,-0.6470963158579649
95,2.2354322227958408,1.8115551220162764,0.8134161036935567,0.9323731205088907,0.5232349521666853,0.03060209516619093,0.938907553663299,-0.7431320956720601
96,3.3763067518277072,2.448666570390174,0.8648818404364479,1.5579923802680347,0.7060006089359875,0.02694740977997923,0.6419066166586089,0.7865639026679603
97,3.3005029584721144,2.3843335913919854,0.8566727747746454,1.4707487789888074,0.7255626793845077,0.03136233596628085,0.6366376032906504,0.5875973620205857
98,3.131848791581536,2.265388162875197,0.845721106232443,1.4081503854712583,0.5457873733960594,0.026226311865030886,0.7106405309034265,0.40886520426429235
99,3.1262802777543564,2.186415912892248,0.84819802627343,1.0619520835056084,0.5387932816659708,0.02657966247072851,0.6229068788536307,0.42679894114760986
100,2.1530351784158674,1.822703475812062,0.8009277288310497,0.8376467675184911,0.42434540732242565,0.032354389237913325,0.9398747585310838,-1.0189794382355883
101,2.1865034536582115,1.7967081834944678,0.8026528054897135,0.661332784369669,0.5163924476319366,0.025577998319635108,0.7424293591558689,-1.0236741944259855
102,2.525717293568066,1.917340017218975,0.8216165824704723,0.7202257080243153,0.43919515923927366,0.03005145754057975,0.7655911313537936,-0.7551738831927315
103,2.2708932413784098,1.8631325634186493,0.8135415467577902,0.8170947274985465,0.5479613421892595,0.03196423048515553,0.7651552489319521,-0.8664351018187646
104,3.221777720609732,2.2475659642102506,0.8568933437917501,1.589687288274734,0.5815890983490504,0.03646398552079935,0.6743344777062888,0.4779327905358132
105,3.34681536823705,2.266290716952217,0.8622139273501153,1.539009282257943,0.6300568829426391,0.03609898495039043,0.7084599112060558,0.6426117333442938
106,3.2284022456941637,2.279258167785508,0.8500733927914452,1.6537894654590086,0.7260474282756632,0.03898292340381468,0.8104654653805791,0.43363437836347307
107,3.1602814500554137,2.3984117510295557,0.8591030694930313,1.9992368137681704,0.7897664335747467,0.03707021549537252,0.7155545331501865,0.5509577732096945
108,1.902031294080994,1.5933872209999356,0.785954504798711,0.5710327272338559,0.3062756135901594,0.027560287880553792,0.8961963060370799,-1.7275349893470398
109,1.8668759039672753,1.65600743257104,0.7821988165834874,0.440453329537348,0.2888705862479391,0.02623664290456932,0.9115835449888042,-1.4721713622448285
110,1.8846037890308964,1.6126495703423334,0.7833819279561303,0.5061368925794426,0.32927379519256567,0.028249666439135603,0.7920691603282436,-1.745708149524073
111,1.8283293404412813,1.5611542080640024,0.7766959599001686,0.37962541763255087,0.3573597654245607,0.0266518361437046,0.7589919043362711,-1.8513135882485843
112,2.7077260515706905,2.133184498061428,0.8296803463125528,1.2206244949774632,0.6842003859340309,0.03536207860339398,0.8508658467339759,-0.342904118923421
113,2.482496657457405,2.048943672652647,0.822777666793157,1.2359397803393415,0.7100715396748798,0.03727426868321499,0.8527104610543157,-0.38519992553028476
114,1.619235939288474,1.4133168305686936,0.7610554154108206,0.4694267903673899,0.35909021615537523,0.02861724399095627,0.9417724795022718,-2.3300544439654307
115,1.7104068933780716,1.4777104551085127,0.7665261614010603,0.3389680394219839,0.2788229036731875,0.028349435990876172,0.9109560506622412,-2.280104507859779
116,1.685309243314123,1.4760995506761032,0.7646637033755267,0.36662121712201806,0.2588390480635104,0.02553756235880233,0.8849823168621684,-2.203267680556095
117,1.6999233157147051,1.535044023459223,0.7738927660378994,0.33263929260946046,0.2820285413853087,0.023804087652999226,0.8254920347080086,-2.004579213628185
118,2.126823328723816,1.7785395431535993,0.8065464371702817,1.0968465394101496,0.6349163856245953,0.041101896135242115,0.8923454910590174,-0.8859095193816086
119,2.3312537424023607,1.9546297685731175,0.8215270911007686,1.4386779289304696,0.7475986157136166,0.03955794308669955,0.8507745998886216,-0.43281011591467883
120,3.157164203821691,2.2898799825296914,0.8508418331555739,1.6944804324637834,0.7938781553895088,0.037766383354167515,0.7462450677728429,0.43698352883931296
121,3.20125384635483,2.3149750896816395,0.851643170189959,1.68476503845131,0.7736630076859585,0.03669035215927778,0.724548111560887,0.36560105338053905
122,2.827788756549847,2.212911786140234,0.8518096699134018,1.5065106565090498,0.8037385085940572,0.0375249026828418,0.7691397693355202,0.5275384527183856
123,3.0088190640334633,2.2626528483728556,0.8528829417312525,1.636743328834511,0.7821904116125551,0.0400692677634314,0.8449931933841035,0.3820649228775563
124,3.3923005690028205,2.4223230886716327,0.8585495306813492,1.8937785792986892,0.7659835058901766,0.032917047808289766,0.7011884850904161,0.5587342019260009
125,3.4108589836053405,2.4187671676606675,0.8616481799822213,1.7313251810933212,0.7222623373129461,0.03249182337577664,0.6418582191043085,0.686945948850491
