,gamma,sc_wb_t,sc_wb_p,fc_wb_t,fc_wb_p,sc_cd_f,sc_cd_p,fc_cd_f,fc_cd_p
0,0.5,1.9178560283087944,0.7265273472652735,7.398158652928817,0.23947605239476052,1.3302162544449199,0.7508249175082492,12.988802039376118,0.33336666333366666
1,0.6,0.7399429479565178,0.8865113488651135,7.47287694094878,0.23657634236576341,2.822147677877375,0.6344365563443656,12.657647275559569,0.3501649835016498
2,0.7,-7.144398111338905,0.23827617238276172,7.47287694094878,0.23657634236576341,8.710805260383085,0.37446255374462556,12.657647275559569,0.3501649835016498
3,0.8,-3.6743791960488243,0.45645435456454353,5.27243415771468,0.40945905409459055,11.107096523115871,0.28547145285471454,8.887054633612559,0.42615738426157385
4,0.9,-5.859486000969068,0.22497750224977503,4.033410821609567,0.49065093490650935,7.134182703979179,0.40745925407459255,14.388423184035036,0.24587541245875413
5,1.0,0.17722956669024473,0.9684031596840316,4.382267879375338,0.38106189381061895,7.705180161337574,0.4226577342265773,5.211731970856855,0.5853414658534146
6,1.1,-0.6354533114718403,0.9037096290370963,-2.0564881160290667,0.6374362563743625,5.542273237709419,0.5692430756924307,15.929099529123443,0.097990200979902
7,1.2,3.102707602843596,0.49635036496350365,0.03414425270936069,0.9932006799320068,4.414701114474244,0.6425357464253575,12.921266945528368,0.26847315268473154
8,1.3,3.0896320627609266,0.49865013498650135,-2.050260555482737,0.631036896310369,4.404593623890521,0.6517348265173483,10.73671860606267,0.2612738726127387
9,1.4,2.5458455062648837,0.5477452254774523,-2.050260555482737,0.631036896310369,4.493911284755379,0.6323367663233677,10.73671860606267,0.2612738726127387
10,1.5,1.294143662103358,0.7498250174982501,-4.645489595973238,0.31326867313268675,4.538614959490298,0.6126387361263873,11.064863055011731,0.207979202079792
11,1.6,1.8116415550832288,0.6234376562343765,-16.824880550855568,0.010498950104989501,4.4604210468352425,0.5917408259174083,14.06178547651726,0.14878512148785122
12,1.7,2.1151521864367555,0.5854414558544145,-11.315699581359468,0.0463953604639536,4.302668760895321,0.6186381361863814,7.091732649571841,0.35026497350264973
13,1.8,2.452413992325641,0.5173482651734826,-8.173001610780819,0.0953904609539046,4.314703554056428,0.6186381361863814,5.0290757251587035,0.4517548245175482
14,1.9,1.2220830663407254,0.7906209379062094,-11.534706061225377,0.051294870512948704,5.023500987501945,0.5653434656534346,6.102176446088266,0.37176282371762825
15,2.0,2.3481056982837796,0.635036496350365,-16.63918194883657,0.017798220177982202,7.3866468991446395,0.3107689231076892,13.636677074771418,0.13938606139386062
16,2.1,3.0996790053349996,0.4383561643835616,-15.049352008168144,0.022097790220977902,6.472031195046534,0.36906309369063095,15.519293119038819,0.1116888311168883
17,2.2,2.596438695500285,0.5007499250074993,-15.00715506762657,0.0231976802319768,6.752043491529937,0.39836016398360163,15.520567900614715,0.1105889411058894
18,2.3,2.055877358219647,0.5827417258274172,-10.066356994163787,0.06619338066193381,7.128003942555142,0.36726327367263273,12.405443773852282,0.12688731126887312
19,2.4,-0.6135846904346887,0.8599140085991401,-10.246126481012471,0.0655934406559344,6.91013170095047,0.2682731726827317,13.76837289951939,0.10618938106189381
20,2.5,-1.194613751775102,0.7315268473152685,-10.423873794183379,0.06269373062693731,4.773513739241854,0.5055494450554945,12.141626175174764,0.1361863813618638
21,2.6,-2.6655850551696054,0.37246275372462756,-10.64340686475902,0.0415958404159584,4.980508859765412,0.5137486251374862,8.837471285647037,0.2014798520147985
22,2.7,-2.0248626590241727,0.5058494150584941,-9.4325844625513,0.057694230576942306,4.401856238513753,0.5589441055894411,9.308392034395602,0.18708129187081293
23,2.8,-0.06714916544743814,0.9818018198180182,-8.952918083909088,0.0665933406659334,4.06797334795591,0.5643435656434357,9.226070619580094,0.19788021197880212
24,2.9,-0.20671386654008406,0.9474052594740526,-7.398315982859729,0.09579042095790422,4.191482686127291,0.5460453954604539,9.389167905049442,0.1302869713028697
25,3.0,-0.734093007021626,0.829017098290171,-7.037541567579775,0.1456854314568543,3.4388549376358255,0.6593340665933407,9.601249601648355,0.1563843615638436
26,3.1,-0.13311215564457568,0.9649035096490352,-7.188718320391618,0.1342865713428657,3.6719534557616993,0.6194380561943805,17.978524735298056,0.03799620037996201
27,3.2,-0.40040714521151904,0.9052094790520948,-4.701902283760179,0.29527047295270475,3.4442582555066528,0.650934906509349,18.422378548374844,0.07169283071692831
28,3.3,0.43224821583576484,0.891010898910109,-5.7931912023625545,0.23317668233176683,3.8800458478205306,0.6575342465753424,52.85773471377594,0.0187981201879812
29,3.4,0.6146721104829368,0.8418158184181582,-4.82594725780198,0.31596840315968405,3.8121834862693826,0.663033696630337,56.73535079391343,0.017998200179982
30,3.5,-0.4269717293655361,0.9114088591140886,-3.5337944174029876,0.46825317468253175,4.22216809406994,0.5435456454354565,194.93829207229936,0.006299370062993701
