gamma,sc_wb_q,fc_wb_q,sc_cd_q,fc_cd_q
0.5,0.9859080758590809,0.9859080758590809,0.9859080758590809,0.9859080758590809
0.6,0.9859080758590809,0.9859080758590809,0.9859080758590809,0.9859080758590809
0.7,0.4637136286371363,0.9859080758590809,0.8183181681831816,0.9859080758590809
0.8,0.5866163383661633,0.9859080758590809,0.7168737671687376,0.9859080758590809
0.9,0.3254674532546745,0.9859080758590809,0.8332602637172178,0.9859080758590809
1.0,0.9859080758590809,0.9859080758590809,0.9859080758590809,0.9935268768205145
1.1,0.9859080758590809,0.9859080758590809,0.9859080758590809,0.9859080758590809
1.2,0.9972002799720028,0.9859080758590809,0.9859080758590809,0.9859080758590809
1.3,0.9972002799720028,0.9859080758590809,0.9859080758590809,0.9859080758590809
1.4,0.9935268768205145,0.9859080758590809,0.9859080758590809,0.9859080758590809
1.5,0.9859080758590809,0.9859080758590809,0.9859080758590809,0.9859080758590809
1.6,0.9859080758590809,0.030996900309969003,0.9859080758590809,0.21745517755916713
1.7,0.9859080758590809,0.2025130820251308,0.9859080758590809,0.8690665817139215
1.8,0.9859080758590809,0.21745517755916713,0.9859080758590809,0.9859080758590809
1.9,0.9859080758590809,0.2025130820251308,0.9859080758590809,0.8690665817139215
2.0,0.9859080758590809,0.030996900309969003,0.9859080758590809,0.21745517755916713
2.1,0.9859080758590809,0.10228977102289771,0.9859080758590809,0.25151770537231993
2.2,0.9859080758590809,0.10228977102289771,0.9859080758590809,0.25151770537231993
2.3,0.9859080758590809,0.21745517755916713,0.9859080758590809,0.8690665817139215
2.4,0.9859080758590809,0.21745517755916713,0.9859080758590809,0.5815418458154183
2.5,0.9859080758590809,0.21745517755916713,0.9859080758590809,0.8690665817139215
2.6,0.9859080758590809,0.25151770537231993,0.9859080758590809,0.9859080758590809
2.7,0.9859080758590809,0.25361100253610996,0.9859080758590809,0.9859080758590809
2.8,0.9859080758590809,0.28195698948623654,0.9859080758590809,0.9859080758590809
2.9,0.9859080758590809,0.21745517755916713,0.9859080758590809,0.7885611438856113
3.0,0.9859080758590809,0.24708957675661006,0.9859080758590809,0.8183181681831816
3.1,0.9800656298006561,0.25151770537231993,0.9859080758590809,0.7180340789450467
3.2,0.8093635080936349,0.28195698948623654,0.9859080758590809,0.25151770537231993
3.3,0.9859080758590809,0.25151770537231993,0.9859080758590809,0.28195698948623654
3.4,0.9859080758590809,0.28195698948623654,0.9859080758590809,0.28195698948623654
3.5,0.9859080758590809,0.41557223587986025,0.9859080758590809,0.25151770537231993
