gamma,sc_wb_q,fc_wb_q,sc_cd_q,fc_cd_q
0.5,0.9717402243515485,0.5878470976431769,0.8360483951604839,0.8360483951604839
0.6,0.8560780285607803,0.5878470976431769,0.8360483951604839,0.8360483951604839
0.7,0.5523861406962751,0.5878470976431769,0.7472467039010384,0.8360483951604839
0.8,0.7352200950117754,0.7352200950117754,0.7352200950117754,0.8360483951604839
0.9,0.5878470976431769,0.7629370396293703,0.7510706556462996,0.7472467039010384
1.0,0.8731506159728856,0.7472467039010384,0.8117430681174307,0.8360483951604839
1.1,0.8391814664687377,0.970306302703063,0.8360483951604839,0.5523861406962751
1.2,0.8360483951604839,0.8360483951604839,0.8360483951604839,0.8117430681174307
1.3,0.8360483951604839,0.9079464934862445,0.8360483951604839,0.7472467039010384
1.4,0.8360483951604839,0.9079464934862445,0.8360483951604839,0.7472467039010384
1.5,0.9717402243515485,0.8360483951604839,0.8360483951604839,0.7352200950117754
1.6,0.857050578128028,0.5207479252074791,0.8360483951604839,0.5523861406962751
1.7,0.8560780285607803,0.5383923146146923,0.8360483951604839,0.7352200950117754
1.8,0.8360483951604839,0.5383923146146923,0.8360483951604839,0.7510706556462996
1.9,0.970306302703063,0.5383923146146923,0.8360483951604839,0.7352200950117754
2.0,0.857050578128028,0.5207479252074791,0.7352200950117754,0.5383923146146923
2.1,0.8360483951604839,0.5207479252074791,0.7510706556462996,0.5383923146146923
2.2,0.8360483951604839,0.5207479252074791,0.8117430681174307,0.5383923146146923
2.3,0.8360483951604839,0.5383923146146923,0.8000249155412327,0.5383923146146923
2.4,0.8584254618016459,0.5383923146146923,0.7352200950117754,0.5383923146146923
2.5,0.8360483951604839,0.5383923146146923,0.8360483951604839,0.5383923146146923
2.6,0.7472467039010384,0.5383923146146923,0.8360483951604839,0.6109833461098334
2.7,0.8117430681174307,0.5383923146146923,0.8360483951604839,0.6109833461098334
2.8,0.857050578128028,0.5383923146146923,0.8360483951604839,0.642054713447574
2.9,0.8560780285607803,0.5383923146146923,0.8360483951604839,0.7472467039010384
3.0,0.8360483951604839,0.583981601839816,0.8560780285607803,0.7472467039010384
3.1,0.8584254618016459,0.5383923146146923,0.8360483951604839,0.5383923146146923
3.2,0.8560780285607803,0.7472467039010384,0.8560780285607803,0.5383923146146923
3.3,0.9942005799420058,0.6936780006209904,0.8391814664687377,0.5383923146146923
3.4,0.9717402243515485,0.7352200950117754,0.8391814664687377,0.5383923146146923
3.5,0.8391814664687377,0.8117430681174307,0.8360483951604839,0.5383923146146923
