,gamma,sc_wb_t,sc_wb_p,fc_wb_t,fc_wb_p,sc_cd_f,sc_cd_p,fc_cd_f,fc_cd_p
0,0.5,-0.3949580195893405,0.9421057894210579,4.265880847488431,0.46085391460853914,0.2396388694169344,0.8876112388761124,3.3407758452113723,0.7281271872812719
1,0.6,-0.8790643680265016,0.8489151084891511,4.360091601334379,0.45625437456254375,0.66713938259642,0.8096190380961904,3.291622677266148,0.7335266473352665
2,0.7,-9.859009606869153,0.1121887811218878,4.360091601334379,0.45625437456254375,11.501161803247475,0.2465753424657534,3.291622677266148,0.7335266473352665
3,0.8,-7.521815332290775,0.1513848615138486,3.8999044815079102,0.5103489651034897,13.655865533712419,0.1907809219078092,2.6559326202817917,0.7852214778522147
4,0.9,-9.520806795435938,0.0734926507349265,4.842660526384023,0.37966203379662034,9.21660508369777,0.26207379262073793,3.8605858466452068,0.6893310668933107
5,1.0,-3.2100188611659095,0.48095190480951905,2.8610744029934385,0.5267473252674733,6.039588483644751,0.5000499950005,0.4140072180008878,0.9775022497750225
6,1.1,-3.5414362968990587,0.4654534546545345,0.9842871235921541,0.811918808119188,5.3033175557078645,0.5481451854814519,6.355832374081157,0.3962603739626037
7,1.2,0.03223770622281312,0.9937006299370063,0.781288759199313,0.8458154184581542,4.298780660871388,0.6127387261273872,5.11573433644354,0.6003399660033997
8,1.3,-0.016356957173702207,0.9972002799720028,-2.577915930360307,0.527947205279472,4.322258319237863,0.6143385661433857,6.125516574726883,0.45585441455854414
9,1.4,-0.13570900329172012,0.9697030296970303,-2.577915930360307,0.527947205279472,3.9642517383093976,0.648935106489351,6.125516574726883,0.45585441455854414
10,1.5,-0.7853852112309567,0.8356164383561644,-1.7646401518237231,0.6748325167483251,3.802912396664884,0.6606339366063394,6.337076334149655,0.39786021397860216
11,1.6,-1.0652189836625061,0.7528247175282472,-22.45998101537263,0.0004999500049995,4.453330613248036,0.5378462153784621,25.581587950057976,0.0212978702129787
12,1.7,-0.5748109792552313,0.8685131486851315,-15.21204356046465,0.009799020097990201,4.3738131012942,0.5564443555644436,7.2833080939011685,0.29447055294470553
13,1.8,-0.18989435853890077,0.9541045895410459,-12.207092239845464,0.0206979302069793,4.225654445154028,0.5786421357864213,5.300018030149038,0.37636236376362364
14,1.9,-0.37451740214613377,0.928007199280072,-16.32045159865806,0.009499050094990502,3.3731142494253716,0.72002799720028,6.682482573429204,0.28347165283471654
15,2.0,1.4774924955117306,0.7473252674732527,-24.141270136302143,0.0004999500049995,2.5945686669248413,0.8198180181981802,24.5663274059027,0.021097890210978902
16,2.1,1.7015170093002527,0.6396360363963604,-19.762706238536055,0.0031996800319968005,2.5715851610591094,0.8393160683931606,21.04277768272484,0.036396360363963605
17,2.2,1.5140801257171332,0.6716328367163283,-19.910610836790028,0.0032996700329967,2.8001984572880563,0.841015898410159,21.05735084561891,0.036196380361963806
18,2.3,1.6671143672585331,0.626937306269373,-12.467042323472109,0.022797720227977204,2.715340185670444,0.8567143285671432,7.095129162894739,0.2916708329167083
19,2.4,0.579528098987809,0.8613138686131386,-13.355231336751922,0.0192980701929807,2.4305715856082415,0.8638136186381362,10.55826070280554,0.14538546145385461
20,2.5,-1.1257650247802717,0.7247275272472753,-12.858514898821007,0.0225977402259774,1.777517370506139,0.9421057894210579,7.028096697607912,0.3013698630136986
21,2.6,-1.8060595991746908,0.5194480551944806,-10.00763631274685,0.036896310368963105,2.0540007642482054,0.9183081691830817,4.998028963057693,0.43225677432256776
22,2.7,-1.6873004023747051,0.5605439456054394,-9.287423673748322,0.044995500449955005,1.832061079390056,0.9362063793620637,5.2407971037137795,0.40515948405159485
23,2.8,-0.39267409661696867,0.8904109589041096,-8.771382823173699,0.05419458054194581,1.6565521373874252,0.9454054594540546,5.134194615000172,0.42925707429257076
24,2.9,-0.3945179990016723,0.896010398960104,-10.864623264177325,0.0206979302069793,1.747349116099154,0.9367063293670633,6.501707454010513,0.22257774222577742
25,3.0,-2.5075659997184183,0.42845715428457154,-11.627656427059387,0.027897210278972105,1.5191945757783654,0.9541045895410459,6.700558771480823,0.25077492250774924
26,3.1,-2.8714138128861753,0.3477652234776522,-10.943247428012693,0.0324967503249675,2.2878023905621343,0.8386161383861613,7.282956643578771,0.19688031196880312
27,3.2,-3.923810061003204,0.23497650234976503,-9.4406917277509,0.05649435056494351,2.271796189268066,0.8352164783521648,22.427950804104565,0.0418958104189581
28,3.3,-1.3395652045350463,0.6546345365463454,-10.653632166539678,0.0425957404259574,2.2696779482007012,0.8908109189081092,23.367175370264338,0.0613938606139386
29,3.4,-1.28769894710544,0.6627337266273373,-9.934161346840412,0.059194080591940805,2.255996571375847,0.8892110788921108,24.99030381128449,0.058894110588941104
30,3.5,-2.3614547519462152,0.5065493450654934,-8.612388901724573,0.09719028097190281,2.479321592617424,0.8155184481551845,36.489212914264414,0.0420957904209579
