	count_strength	count_degree	log_count_strength	qa_strength
0	1369.0	20.0	48.13239638380167	14.421783999999999
1	1612.0	22.0	64.21323537690536	14.585490999999998
2	1373.0	22.0	63.78999009219066	15.382815
3	1267.0	20.0	63.88362598842497	11.772251999999998
4	1499.0	21.0	63.44410533957202	18.465103
5	1369.0	23.0	67.46416748851033	17.575292
6	1203.0	25.0	67.3265568842894	16.126320999999997
7	911.0	19.0	51.4998794663593	12.004787
8	1052.0	16.0	41.44275359444023	10.810456
9	882.0	16.0	34.57239481115531	11.013829
10	1158.0	19.0	42.28002061989143	15.024123000000001
11	1574.0	20.0	62.17163660473774	13.130107
12	1791.0	17.0	51.97003577929864	12.987548999999998
13	1460.0	17.0	49.46579158869463	11.774564000000002
14	546.0	23.0	57.540913224216084	15.164254
15	869.0	21.0	56.278210402025536	11.180957
16	887.0	25.0	58.159256996628216	16.753971
17	699.0	22.0	44.63172800411846	13.584913
18	584.0	19.0	55.29890683628359	12.819652999999999
19	1092.0	26.0	67.55134591987066	15.955554
20	1549.0	34.0	97.70809516420262	20.970893
21	1181.0	30.0	70.87119112617779	18.022514
22	856.0	27.0	75.99977718243571	16.865991
23	1295.0	29.0	72.54402520493906	17.099518
24	892.0	26.0	56.23204857823911	14.919476
25	933.0	32.0	70.96747382942783	18.406161
26	1056.0	22.0	71.62594969750927	16.419945000000002
27	1326.0	29.0	79.92566438071324	19.926783999999998
28	1169.0	23.0	68.59399216841348	16.699106
29	717.0	26.0	55.18114883518542	15.837397
30	1124.0	35.0	85.87074922077025	22.568265
31	888.0	19.0	40.66874341967781	11.067580999999999
32	646.0	27.0	52.42719288734992	19.976447
33	575.0	20.0	40.38315195695634	11.953961
34	448.0	25.0	48.185841462685374	19.712176
35	436.0	19.0	33.41015951220551	12.087264
36	489.0	37.0	73.92415692596984	28.313036
37	433.0	20.0	44.905997953496914	12.737138000000002
38	1782.0	39.0	89.41053645913485	25.929796
39	1000.0	20.0	45.59317535857234	11.765728
40	427.0	9.0	23.3643635977511	5.392108
41	357.0	6.0	14.422757743720554	3.026805
42	399.0	29.0	47.67320663483494	17.418364
43	418.0	20.0	45.86537205452178	12.724395000000001
44	543.0	19.0	36.811519642466045	9.616632
45	489.0	24.0	51.59338480996537	14.447958999999999
46	1099.0	14.0	28.390186246481324	6.467715999999999
47	1263.0	15.0	39.879109175597065	8.696631
48	799.0	23.0	59.001276056748125	9.741389
49	369.0	11.0	29.69180168977097	4.6241330000000005
50	367.0	27.0	51.185022512409844	17.650678
51	421.0	25.0	52.482993036249056	15.330691999999999
52	1815.0	27.0	75.77997606764227	19.037868
53	1043.0	25.0	56.65445318076937	16.060368
54	1231.0	25.0	69.64630051172121	15.936688
55	1382.0	24.0	75.86954500932436	15.067047000000002
56	264.0	25.0	33.47801093856196	16.648698000000003
