	strength_zmean_po	degree_zmean_95bin	buckner_degz_mean	cole_gbcz_mean	zuo_strengthz_mean	buckner_degz_std	cole_gbcz_std	zuo_strengthz_std
25	17.74834981705476	8.0	0.04239124671884387	-0.5197266158830895	0.2340217796532295	0.5507519710295491	0.8241144833122173	0.6563665071706094
26	15.408547360741535	9.0	-0.2705945688409441	-1.329193897810077	0.3812484593604726	0.5787506036213492	0.5824562960174581	0.7057186407006465
27	13.833783339889722	9.0	-0.39315426904452233	-1.547455158002761	0.42847099155891305	0.5447953127830619	0.6387537618997443	0.6062193876213773
28	21.322908065194227	10.0	0.36040813118638154	0.688356513805587	0.09819662028245926	0.6582769338335005	0.5796646655824335	0.7040162990529464
29	20.65503229670918	9.0	0.46699287528560407	0.5886948759909555	0.2093775774334377	0.8219196990075968	0.6702990561303349	0.7062841780754273
30	19.92596878178281	10.0	0.20564145722138275	0.47631648106153035	-0.019659495582711194	0.6514464604505973	0.47918210286044627	0.7671969932565168
31	20.66183749656563	10.0	0.3900789546653698	0.5377136505903297	0.08754744444120545	0.71321733886644	0.6046477687795662	0.7142418894520461
32	20.655745665823474	19.0	0.24045282010126848	0.07944111069573151	0.13846791103620987	0.6045314883019024	0.6375318312809398	0.6910276494352167
33	19.173886719139812	10.0	0.24456862072823468	0.14923261499407833	0.11005062986323662	0.7197383022007833	0.766492667476806	0.6605214311718537
34	20.738331578034177	15.0	0.1371062140316222	-0.0018747768145309718	0.09960347983950424	0.5725329140861579	0.585629086002981	0.7044980832908014
35	17.960083028390493	8.0	0.2691047109026686	0.13518859858471718	0.16824232295143576	0.6989247043824109	0.7211243794791826	0.7574434092990341
36	22.944054133229574	9.0	0.5323700934903871	0.48908226266292965	0.29301731932165415	0.6536378831055354	0.6467016347900801	0.6408445580673598
37	26.235052852697855	21.0	0.7338945837262039	0.5099572424288908	0.4830443934260063	0.5702611570374179	0.6379597065139198	0.5624542695141898
38	23.361910985986917	11.0	0.5723607143021243	0.4616955387993765	0.24644011329613766	0.734729836352363	0.6501970823525197	0.687991533185371
39	25.802579676040683	20.0	0.6975183827731819	0.4142683357587576	0.4561040726891348	0.7159500293223459	0.5887923708604262	0.6358761116954039
